,Date,JPM,SPY
0,2019-01-02,89.44888305664062,237.12220764160156
1,2019-01-03,88.17766571044922,231.46383666992188
2,2019-01-04,91.4283676147461,239.21690368652344
3,2019-01-07,91.49193572998047,241.10302734375
4,2019-01-08,91.31941223144531,243.36825561523438
5,2019-01-09,91.1650390625,244.50564575195312
6,2019-01-10,91.15596771240234,245.36814880371094
7,2019-01-11,90.72012329101562,245.46292114257812
8,2019-01-14,91.65538024902344,243.96534729003906
9,2019-01-15,92.32730865478516,246.76144409179688
10,2019-01-16,93.0718765258789,247.3585662841797
11,2019-01-17,93.45325469970703,249.2351837158203
12,2019-01-18,94.96964263916016,252.552490234375
13,2019-01-22,93.4714126586914,249.14041137695312
14,2019-01-23,93.23532104492188,249.6617431640625
15,2019-01-24,93.28981018066406,249.7943572998047
16,2019-01-25,93.88002014160156,251.9080047607422
17,2019-01-28,94.324951171875,249.99343872070312
18,2019-01-29,94.58827209472656,249.6617431640625
19,2019-01-30,94.80621337890625,253.6140594482422
20,2019-01-31,93.97990417480469,255.84140014648438
21,2019-02-01,94.324951171875,255.96461486816406
22,2019-02-04,94.66091918945312,257.76544189453125
23,2019-02-05,94.24321746826172,258.845947265625
24,2019-02-06,94.19782257080078,258.5047302246094
25,2019-02-07,92.96292877197266,256.0404968261719
26,2019-02-08,92.0367431640625,256.35321044921875
27,2019-02-11,91.60088348388672,256.4953918457031
28,2019-02-12,93.16268920898438,259.79376220703125
29,2019-02-13,93.60759735107422,260.6373291015625
30,2019-02-14,92.99922943115234,260.05914306640625
31,2019-02-15,95.84135437011719,262.8930969238281
32,2019-02-19,95.50537109375,263.34808349609375
33,2019-02-20,95.96846008300781,263.8788146972656
34,2019-02-21,95.76868438720703,262.9404602050781
35,2019-02-22,95.34192657470703,264.57073974609375
36,2019-02-25,96.34075927734375,264.93084716796875
37,2019-02-26,95.60525512695312,264.7413024902344
38,2019-02-27,95.48721313476562,264.6275329589844
39,2019-02-28,94.76079559326172,264.13470458984375
40,2019-03-01,94.82437896728516,265.7839050292969
41,2019-03-04,94.60643768310547,264.8171691894531
42,2019-03-05,94.5337905883789,264.4569091796875
43,2019-03-06,94.17967224121094,262.8551330566406
44,2019-03-07,93.49864959716797,260.6562194824219
45,2019-03-08,93.53498077392578,260.135009765625
46,2019-03-11,94.75171661376953,263.9072265625
47,2019-03-12,94.4702377319336,264.9024658203125
48,2019-03-13,94.78804016113281,266.6559143066406
49,2019-03-14,95.6506576538086,266.48529052734375
50,2019-03-15,96.7493667602539,267.80181884765625
51,2019-03-18,97.33048248291016,268.7728271484375
52,2019-03-19,96.97636413574219,268.8395080566406
53,2019-03-20,94.90607452392578,268.0303649902344
54,2019-03-21,93.40784454345703,271.05767822265625
55,2019-03-22,90.58390808105469,265.8407897949219
56,2019-03-25,89.83025360107422,265.6408996582031
57,2019-03-26,90.72919464111328,267.62103271484375
58,2019-03-27,90.42047882080078,266.2215881347656
59,2019-03-28,91.44654083251953,267.2306823730469
60,2019-03-29,91.918701171875,268.9157409667969
61,2019-04-01,95.0150375366211,272.104736328125
62,2019-04-02,95.46906280517578,272.2381286621094
63,2019-04-03,95.65972900390625,272.6664733886719
64,2019-04-04,96.58385467529297,273.3899841308594
65,2019-04-05,96.35511016845703,274.7132263183594
66,2019-04-08,96.66619873046875,274.9226989746094
67,2019-04-09,95.9525375366211,273.5137939453125
68,2019-04-10,96.382568359375,274.4467468261719
69,2019-04-11,97.19688415527344,274.37054443359375
70,2019-04-12,101.7533950805664,276.2268981933594
71,2019-04-15,100.59141540527344,276.0460510253906
72,2019-04-16,101.65276336669922,276.2268981933594
73,2019-04-17,104.5806655883789,275.551025390625
74,2019-04-18,103.81207275390625,276.09356689453125
75,2019-04-22,103.94017028808594,276.3316345214844
76,2019-04-23,104.0682601928711,278.81634521484375
77,2019-04-24,103.89444732666016,278.1975402832031
78,2019-04-25,103.94933319091797,278.026123046875
79,2019-04-26,104.7362060546875,279.3208312988281
80,2019-04-29,106.24591064453125,279.7587585449219
81,2019-04-30,106.18184661865234,279.9015808105469
82,2019-05-01,105.36753845214844,277.7976379394531
83,2019-05-02,105.59627532958984,277.1979064941406
84,2019-05-03,106.24591064453125,279.91107177734375
85,2019-05-06,105.30347442626953,278.7591247558594
86,2019-05-07,103.58335876464844,274.1039733886719
87,2019-05-08,103.03437042236328,273.72320556640625
88,2019-05-09,102.9520263671875,272.89495849609375
89,2019-05-10,102.94287109375,274.26580810546875
90,2019-05-13,100.14305877685547,267.37347412109375
91,2019-05-14,100.9390869140625,269.7915344238281
92,2019-05-15,100.55480194091797,271.3717956542969
93,2019-05-16,101.84490966796875,273.885009765625
94,2019-05-17,101.35082244873047,272.1143493652344
95,2019-05-20,101.88150024414062,270.31512451171875
96,2019-05-21,102.22920989990234,272.7522277832031
97,2019-05-22,101.39656829833984,271.9144287109375
98,2019-05-23,99.4019546508789,268.592041015625
99,2019-05-24,100.38096618652344,269.2012634277344
100,2019-05-28,99.29215240478516,266.6976013183594
101,2019-05-29,99.01765441894531,264.9078063964844
102,2019-05-30,97.956298828125,265.6313171386719
103,2019-05-31,96.94984436035156,262.0518493652344
104,2019-06-03,97.40731811523438,261.3855285644531
105,2019-06-04,100.40840148925781,267.059326171875
106,2019-06-05,100.7652359008789,269.3726501464844
107,2019-06-06,100.98483276367188,271.124267578125
108,2019-06-07,99.87773895263672,273.8374328613281
109,2019-06-10,100.9573974609375,275.0940856933594
110,2019-06-11,101.26848602294922,275.02740478515625
111,2019-06-12,99.9783706665039,274.54193115234375
